Agra, Uttar Pradesh
Ajanta Caves, Maharashtra
Alleppey (Houseboat), Kerala
Alleppey, Kerala
Amer Fort Heritage, Jaipur
Anjuna, Goa
Araku Valley, Andhra Pradesh
Auli, Uttarakhand
Auroville, Pondicherry
Bikaner, Rajasthan
Bir Billing, Himachal Pradesh
Cherrapunji, Meghalaya
Chikmagalur, Karnataka
Coorg, Karnataka
Corbett, Uttarakhand
Dalhousie, Himachal Pradesh
Dandeli, Karnataka
Darjeeling, West Bengal
Dawki, Meghalaya
Dharamshala, Himachal Pradesh
Ellora Caves, Maharashtra
Gangtok, Sikkim
Gokarna, Karnataka
Golconda Fort, Hyderabad
Gulmarg, Kashmir
Hampi Architecture, Karnataka
Hampi, Karnataka
Havelock Island, Andaman
ISRO-VHSC, Bangalore
Jaipur, Rajasthan
Jaisalmer, Rajasthan
Jantar Mantar, Jaipur
Jodhpur, Rajasthan
Kabini, Karnataka
Kanyakumari, Tamil Nadu
Kasol, Himachal Pradesh
Khajuraho Temples, MP
Kochi, Kerala
Kodaikanal, Tamil Nadu
Konark Sun Temple, Odisha
Kovalam, Kerala
Kumarakom, Kerala
Lachung, Sikkim
Lakshadweep Islands
Leh, Ladakh
Madurai, Tamil Nadu
Mahabalipuram, Tamil Nadu
Majuli, Assam
Manali, Himachal Pradesh
Mcleodganj, Himachal Pradesh
Mount Abu, Rajasthan
Munnar, Kerala
Mussoorie, Uttarakhand
Mysore Palace, Karnataka
Mysore, Karnataka
Nainital, Uttarakhand
Nalanda University Ruins, Bihar
National Museum, Delhi
Neil Island, Andaman
Nubra Valley, Ladakh
Old Manali, Himachal Pradesh
Ooty, Tamil Nadu
Pahalgam, Kashmir
Palolem, Goa
Pangong Lake, Ladakh
Pelling, Sikkim
Pondicherry
Pushkar, Rajasthan
Rameshwaram, Tamil Nadu
Rishikesh, Uttarakhand
Sabarmati Ashram, Gujarat
Sarnath Buddhist Circuit, UP
Science City, Ahmedabad
Shillong, Meghalaya
Shimla, Himachal Pradesh
South Goa
Spiti Valley, Himachal Pradesh
Srinagar, Kashmir
Tanjore Temples, Tamil Nadu
Tawang, Arunachal Pradesh
Thekkady, Kerala
Tirupati, Andhra Pradesh
Tosh, Himachal Pradesh
Udaipur, Rajasthan
Udupi, Karnataka
Varanasi, Uttar Pradesh
Varkala, Kerala
Visakhapatnam, Andhra Pradesh
Wayanad, Kerala
Yercaud, Tamil Nadu
Ziro Valley, Arunachal Pradesh
